ID,Name,Start Date,End Date,Termination Type,Department,Location
15759275,Derrick Ramirez,2022-01-03,2022-12-31,Voluntary,Customer Service,New York (New York)
19012299,Jill Barajas,2021-07-16,,,Customer Service,"San Jose, California"
63181060,Dawn Jones,2021-06-13,2022-12-26,Voluntary,Sales,"New York, New York"
29101721,Greg Williams,2019-11-15,,,Marketing,San Diego (California)
76868411,Stephen Allen,2023-03-17,,,Marketing,California - San Jose
95028633,Renee Wolfe,2023-05-09,2023-07-20,Voluntary,IT,San Antonio (Texas)
49350219,Patricia Hale,2019-11-03,2019-11-23,Involuntary,Engineering,"San Jose, California"
32275632,Christina King,2019-12-01,,,Accounting,San Jose (CA)
72551668,Taylor Schultz,2021-11-01,,,Marketing,San Jose (CA)
30851361,Karla Walker,2021-02-20,2023-10-19,Voluntary,Accounting,Houston (Texas)
30742312,Sierra Johnson,2020-08-30,,,Customer Service,San Diego (CA)
04241082,Kari Conner,2019-05-24,,,Marketing,Illinois - Chicago
58743899,Susan Sharp,2023-01-19,,,Sales,San Diego (California)
77267851,Laurie Goodwin,2021-07-04,2023-10-05,Voluntary,Marketing,San Jose (CA)
06166356,Edwin Gonzalez,2023-05-16,2023-05-22,Voluntary,Engineering,New York (New York)
92906925,Melinda Hall,2023-06-23,2023-10-27,Involuntary,Customer Service,"Los Angeles, CA"
65181649,Victor Taylor,2020-11-09,2021-12-30,Involuntary,Accounting,Houston (Texas)
01646235,Travis Conner,2023-11-01,,,Engineering,Illinois - Chicago
09101847,Lori Williams,2019-10-02,2021-11-22,Involuntary,Customer Service,"New York, New York"
98247978,Keith Lloyd,2022-03-09,,,Marketing,California - Los Angeles
83794476,Jennifer Jenkins,2019-05-28,2022-05-13,Involuntary,Customer Service,"Phoenix, AZ"
86149848,Bradley Miller,2023-10-18,,,Accounting,San Jose (California)
10043278,Aaron Carlson,2020-04-13,2021-01-16,Involuntary,Marketing,"San Antonio, Texas"
95636457,Scott King,2021-10-18,2022-07-29,Voluntary,Accounting,"Chicago, Illinois"
04252623,Julia Brown,2021-09-21,,,Customer Service,"Houston, Texas"
11363336,Elizabeth Cooper,2020-05-24,2022-10-03,Involuntary,Engineering,New York (NY)
61894494,John Mendez,2023-02-28,2023-05-01,Involuntary,Accounting,"San Antonio, Texas"
70528350,Deanna Barrera,2020-12-14,2023-04-07,Voluntary,Marketing,IL - Chicago
67142221,Heather Mitchell,2019-01-24,,,Accounting,"San Jose, California"
37890587,Charles Garcia,2023-06-15,,,Engineering,"Phoenix, Arizona"
22761035,Billy Wallace,2023-12-08,2023-12-08,Voluntary,IT,Phoenix (Arizona)
11813826,Allen Martinez,2022-02-15,,,Marketing,Texas - Dallas
97334764,Larry Rowland,2020-11-23,,,Marketing,"Philadelphia, Pennsylvania"
74854624,Matthew Simon,2021-01-08,,,Sales,Phoenix (AZ)
94048057,Christina Mullen,2019-11-07,2020-01-11,Involuntary,IT,Houston (TX)
37346971,Jorge Stone,2023-11-09,2023-12-27,Involuntary,Customer Service,"San Diego, California"
88728737,David Thomas,2022-04-12,,,Marketing,Los Angeles (CA)
42376657,Vincent Schaefer,2022-09-16,,,Engineering,"San Jose, California"
87653540,Sonia Reyes,2020-02-07,,,Engineering,"San Diego, California"
84323223,Diane Byrd MD,2019-06-19,2021-05-21,Voluntary,Accounting,"San Diego, California"
49469783,Elizabeth Jones,2023-01-05,2023-12-27,Involuntary,Marketing,"Houston, TX"
25867258,Tyler Lang,2020-03-12,2020-08-06,Voluntary,Sales,"Philadelphia, Pennsylvania"
91282684,Jason Miller,2020-10-20,2022-12-28,Voluntary,Accounting,Philadelphia (PA)
55388635,Jason Walker,2020-01-08,,,Marketing,Dallas (TX)
92347656,Ryan Rivera,2020-11-15,,,Accounting,"New York, NY"
67378255,Alyssa Vance,2022-07-05,2023-07-17,Involuntary,Marketing,Houston (Texas)
56087573,Carl Dean,2020-08-22,,,Customer Service,Dallas (Texas)
41970838,Joseph Miller,2020-01-16,2022-05-25,Involuntary,Sales,"Houston, Texas"
03278321,Lisa Perry,2023-03-20,,,Marketing,Chicago (Illinois)
87976095,Dean Harris,2020-08-12,,,Marketing,Chicago (Illinois)
00872249,Jeffrey Chavez,2022-08-26,2023-06-24,Voluntary,Marketing,"Philadelphia, Pennsylvania"
31774193,Sean Nguyen,2021-01-22,,,Marketing,"San Antonio, TX"
